school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
University of Mississippi,Ole Miss,SEC,2019,"48,247,277","11,224,448","430,626",,,"108,790","179,032",,,,,,,,,,"435,030",,,"171,752","252,907","229,992","312,540",,"301,534",,,,,"5,706,628",,,,,,,"450,624",
University of Mississippi,Ole Miss,SEC,2020,"53,015,900","10,199,918","605,616",,,"144,149","148,795",,,,,,,,,,"286,863",,,"112,926","181,923","281,031","294,716",,"268,866",,,,,"2,865,617",,,,,,,"366,545",
"University of South Carolina, Columbia",South Carolina,SEC,2015,"59,768,622","8,795,178","1,581,246",,,"34,699","88,619",,,,,,,,,"124,644","215,565","131,821","142,739","39,545","110,272","200,160","234,606",,"190,009",,,,,"2,702,009","61,380",,"209,612",,,,"176,810",
"University of South Carolina, Columbia",South Carolina,SEC,2016,"59,629,815","9,647,770","1,530,532",,,"19,876","77,076",,,,,,,,,"204,245","202,021","124,218","154,378","63,905","133,850","194,833","220,422",,"131,737",,,,,"3,138,470","97,772",,"253,881",,,,"201,553",
"University of South Carolina, Columbia",South Carolina,SEC,2017,"60,981,973","11,240,553","2,242,279",,,"34,923","103,773",,,,,,,,,"389,025","338,654","119,357","172,945","93,001","220,540","300,960","342,276",,"167,189",,,,,"3,822,697","75,102",,"184,250",,,,"282,551",
"University of South Carolina, Columbia",South Carolina,SEC,2018,"64,415,927","11,112,728","2,598,370",,,"32,148","113,512",,,,,,,,,"173,670","199,866","170,216","195,961","37,765","134,460","233,218","312,096",,"171,897",,,,,"3,642,272","86,015",,"344,115",,,,"252,522",
"University of South Carolina, Columbia",South Carolina,SEC,2019,"65,404,537","11,093,660","2,207,171",,,"6,064","119,434",,,,,,,,,"231,707","305,075","248,730","315,922","73,985","238,949","339,133","496,233",,"288,725",,,,,"4,145,895","39,215",,"229,694",,,,"366,555",
Appalachian State University,App State,Sun Belt,2017,"5,483,594","336,943","72,623",,,"109,585","21,445",,,,,,,,,"19,591","34,890",,,"11,570","7,900","49,690","37,023",,"23,268",,,"68,151",,"79,477",,,,"14,607",,,"16,213",
Appalachian State University,App State,Sun Belt,2018,"5,281,317","359,481","66,085",,,"62,090","37,838",,,,,,,,,"40,541","37,045",,,"20,008","5,679","49,689","16,149",,"20,359",,,"104,503",,"121,802",,,,"12,297",,,"18,042",
Appalachian State University,App State,Sun Belt,2019,"5,259,163","457,172","79,607",,,"60,060","34,600",,,,,,,,,"44,548","26,433",,,"11,659","4,841","36,159","37,205",,"15,026",,,"206,719",,"81,331",,,,"11,673",,,"9,746",
Appalachian State University,App State,Sun Belt,2020,"7,048,691","474,200","91,958",,,"66,712","20,050",,,,,,,,,"33,309","20,636",,,"11,262","7,019","34,555","32,434",,"22,549",,,"76,008",,"42,356",,,,"12,789",,,"16,245",
University of Washington,Washington,Pac-12,2019,"84,041,770","11,409,380","1,080,083",,,"479,027","556,599",,"598,030",,,,,,,"330,405","680,201",,,"365,118","636,339","256,213","1,137,189",,"932,195",,,,,"777,366","1,200",,,,,"1,734,534","1,104,039",
University of New Mexico,New Mexico,Mountain West,2015,"3,053,131","5,209,906","544,149",,,"159,959","82,277",,,,,,,"85,901","142,268","215,651","119,859",,"182,472","164,385","114,190","84,684","150,724",,"147,696",,,,,"554,909","3,600",,,,,,"125,534",
University of New Mexico,New Mexico,Mountain West,2016,"3,346,779","5,028,281","516,294",,,"175,358","92,613",,,,,,,"152,200","144,880","201,454","160,300",,"220,313","122,875","118,103","137,432","195,991",,"138,238",,,,,"595,596","5,031",,,,,,"158,702",
University of New Mexico,New Mexico,Mountain West,2017,"4,677,751","4,283,428","565,281",,,"213,902","107,722",,,,,,,"245,166","203,519","235,206","154,855",,"125,477","134,253","127,419","246,237","285,111",,"155,032",,,,,"878,737","18,476",,,,,,"135,123",
University of New Mexico,New Mexico,Mountain West,2018,"5,158,217","3,729,686","672,795",,,"157,812","63,403",,,,,,,"262,313","150,795","221,654","188,767",,"125,455","100,467","109,266","188,636","257,214",,"153,781",,,,,"708,156","16,191",,,,,,"31,952",
University of New Mexico,New Mexico,Mountain West,2019,"2,205,911","3,739,167","440,255",,,"96,639","13,679",,,,,,,"14,240","14,241","29,044","17,015",,8,"17,861",,"35,749","65,591",,"31,869",,,,,"397,493","6,500",,,,,,"62,297",
Auburn University,Auburn,SEC,2017,"91,750,755","9,900,612","280,355",,,"90,006","63,901",,"249,420",,,,,,,,"214,175","93,348","109,543","77,192","112,664","54,535","143,845",,"119,703",,,,,"884,193",,,"273,495",,,,"447,451",
Auburn University,Auburn,SEC,2018,"93,562,716","11,215,092","254,130",,,"160,878","133,004",,"268,559",,,,,,,,"189,663","59,240","139,686","43,259","88,278","122,327","203,690",,"112,977",,,,,"904,343",,,"251,825",,,,"374,917",
Auburn University,Auburn,SEC,2019,"95,157,215","15,593,947","538,944",,,"179,682","159,180",,"296,116",,,,,,,,"188,112","82,108","147,923","49,772","72,977","126,131","174,173",,"120,358",,,,,"1,081,504",,,"416,196",,,,"396,301",
Auburn University,Auburn,SEC,2020,"97,665,511","12,258,411","241,271",,,"154,972","57,923",,"322,129",,,,,,,,"168,790","148,879","202,476","52,517","60,646","154,012","176,014",,"126,690",,,,,"625,138",,,"408,597",,,,"194,365",
University of Texas at Austin,Texas,Big 12,2017,"142,043,629","17,905,838","2,856,814",,,"1,622,520","593,083",,,,,,,,,,"1,108,917","1,042,322","1,168,812","490,111","435,258","961,381","954,135",,"2,387,687",,,,,"5,887,306",,,,,,"516,297","1,344,541",
University of Texas at Austin,Texas,Big 12,2018,"144,467,556","18,255,951","2,959,646",,,"988,404","464,782",,,,,,,,,,"1,176,856","1,084,628","1,059,654","360,305","417,825","854,735","867,980",,"2,235,606",,,,,"7,075,483",,,,,,"528,050","1,306,675",
University of Texas at Austin,Texas,Big 12,2019,"156,961,577","16,707,533","2,499,335",,,"1,152,415","540,170",,,,,,,,,,"1,159,235","1,286,590","1,152,168","385,850","421,725","1,028,989","1,028,167",,"2,158,828",,,,,"6,101,824",,,,,,"592,212","1,278,585",
University of Texas at Austin,Texas,Big 12,2020,"146,772,092","13,549,432","2,065,621",,,"476,130","247,434",,,,,,,,,,"666,905","615,240","410,498","239,394","250,843","583,523","547,286",,"1,514,967",,,,,"2,856,868",,,,,,"401,577","935,547",
West Virginia University,West Virginia,Big 12,2015,"22,462,428","5,373,005","422,558",,,"10,300",,,"112,832",,,,,,,"38,712","149,643","61,273","61,273",,"26,723",,"109,552",,"44,657",,,"98,233",,"376,059",,,,,,"34,023",,
West Virginia University,West Virginia,Big 12,2016,"19,681,462","5,374,812","708,895",,,"110,034",,,"443,503",,,,,,,"282,248","619,963","290,521","412,827",,"213,073",,"508,241",,"322,708",,,"315,087",,"659,994",,,,,,"414,411",,
West Virginia University,West Virginia,Big 12,2017,"21,923,563","5,371,825","602,490",,,"98,672",,,"418,819",,,,,,,"257,089","581,521","431,784","63,230",,"170,649",,"418,879",,"299,826",,,"241,430",,"551,482",,,,,,"303,009",,
West Virginia University,West Virginia,Big 12,2018,"21,363,058","5,431,795","940,875",,,"240,433",,,"592,627",,,,,,,"488,523","970,353","445,268","527,992",,"320,175",,"759,391",,"558,994",,,"411,963",,"758,054",,,,,,"559,849",,
West Virginia University,West Virginia,Big 12,2019,"24,126,779","6,090,611","435,771",,,"139,850",,,"139,995",,,,,,,"97,249","214,049","105,135","82,165",,"54,831",,"188,800",,"112,282",,,"130,927",,"623,238",,,,,,"68,082",,
West Virginia University,West Virginia,Big 12,2020,"50,445,727","16,561,238","355,262",,,"232,673",,,"81,132",,,,,,,"125,469","205,645","62,682","51,415",,"89,043",,"56,958",,"85,713",,,"203,510",,"242,868",,,,,,"49,378",,
University of Memphis,Memphis,AAC,2017,"5,063,827","6,506,271","32,410",,,"65,721","81,175",,,,,,,,,"1,500",60,,,"25,375","36,003","13,990",,,"4,132",,,,,"111,150",,,,,,,"15,080",
University of Memphis,Memphis,AAC,2018,"7,027,123","6,142,241","72,987",,,"60,948","73,630",,,,,,,,,"6,199","7,305",,,"25,900","20,125","12,801",0,,"2,275",,,,,"91,073",,,,,,,"14,250",
University of Memphis,Memphis,AAC,2019,"7,193,055","6,742,393","40,251",,,"41,450","31,550",,,,,,,,,"7,000","4,137",,,"39,625","15,625","11,140","50,000",,"3,150",,,,,"49,708",,,,,,,"28,900",
University of Memphis,Memphis,AAC,2020,"13,471,191","6,859,576","34,027",,,"38,233","146,537",,,,,,,,,"1,488","5,333",,,"34,750","8,500","20,323",,,180,,,,,"87,860",,,,,,,"35,940",
University of Central Florida,UCF,AAC,2019,"34,842,049","3,944,659","1,223,695",,,"182,439","258,382",,,,,,,,,"504,532","535,613",,,"183,463","333,743",,"667,775",,"530,397",,,,,"1,396,381",,,,,,"811,987","799,989",
University of Central Florida,UCF,AAC,2020,"33,601,196","3,624,781","1,281,190",,,"209,987","355,077",,,,,,,,,"579,747","759,555",,,"216,856","509,339",,"911,641",,"807,801",,,,,"1,087,558",,,,,,"959,911","735,398",
Ball State University,Ball State,MAC,2019,"2,218,467","402,520","47,722",,,"13,500","13,715",,"86,573",,,,,,,,"9,264","22,221","22,221","25,000",81,,285,"55,306","69,779",,,,,"158,856",,,,"6,075",,,"57,796",
Ball State University,Ball State,MAC,2020,"1,049,241","369,125","34,327",,,,,,"83,780",,,,,,,,"7,132","2,631","5,982",,227,,,"8,420","34,455",,,,,"1,302,257",,,,"7,220",,,"35,957",
Florida Atlantic University,FAU,C-USA,2017,"3,477,415","372,372","462,491",,,"36,552","15,049",,,,,,,,,"51,715","88,249","7,237","5,926","14,484","10,900",0,"39,832",,"112,144",,,,,"108,036","14,224",,,,,,"50,096",
Florida Atlantic University,FAU,C-USA,2018,"3,650,459","356,966","52,122",,,,,,,,,,,,,"9,377","7,034","1,000","5,000",,,,,,"3,107",,,,,"60,238",,,,,,,"29,143",
Florida Atlantic University,FAU,C-USA,2019,"3,298,610","267,663","32,014",,,0,0,,,,,,,,,"13,693","5,027","3,000","4,000",0,0,0,0,,"5,382",,,,,"78,322",0,,,,,,"25,567",
Florida Atlantic University,FAU,C-USA,2020,"7,710,886","619,768","306,951",,,750,"1,715",,,,,,,,,"65,414","21,594",951,894,"1,000","2,615",375,"1,950",,"6,990",,,,,"56,139","2,716",,,,,,"17,866",
Washington State University,Washington State,Pac-12,2017,"39,688,429","5,432,740","1,185,128",,,"274,034","454,165",,,,,,,,,,"1,158,493",,"979,708",,"694,741","671,398","1,373,599",,"956,272",,,,,"795,639",,,,,,"1,386,504",,
Washington State University,Washington State,Pac-12,2018,"40,783,999","5,489,192","1,095,027",,,"286,017","455,277",,,,,,,,,,"1,038,818",,"940,833",,"623,383","624,455","1,228,614",,"938,794",,,,,"676,016",,,,,,"1,457,570",,
Washington State University,Washington State,Pac-12,2019,"44,462,708","5,896,108","948,960",,,"327,945","522,596",,,,,,,,,,"1,237,830",,"963,405",,"791,131","628,675","1,447,249",,"1,052,243",,,,,"1,519,775",,,,,,"1,498,752",,
Washington State University,Washington State,Pac-12,2020,"43,255,823","6,349,660","962,383",,,"313,070","506,792",,,,,,,,,,"1,048,168",,"858,004",,"554,660","589,765","1,371,274",,"955,133",,,,,"1,698,661",,,,,,"1,128,100",,
University of Louisiana at Monroe,"Louisiana, Monroe",Sun Belt,2017,"3,692,589","244,531","176,454",,,"96,390","83,225",,,,,,,,,,"3,106",,,,"20,901","15,007","14,333",,"62,205",,,,,"113,352","67,403",,,,,,"98,065",
University of Louisiana at Monroe,"Louisiana, Monroe",Sun Belt,2018,"3,834,176","329,934","211,439",,,"76,060","54,554",,,,,,,,,,"37,877",,,,"20,389","14,194","49,746",,"29,007",,,,,"86,546","2,176",,,,,,"71,853",
University of Virginia,Virginia,ACC,2017,"25,860,224","9,997,878","1,141,237",,,"336,867","436,990",,,,,"1,044,634","805,804",,,"789,368","1,146,959","685,450","786,999","845,979","482,315","1,072,182","839,539",,"934,733",,,"701,022",,"1,558,313",,,,"781,346",,"1,306,019","838,270",
University of Virginia,Virginia,ACC,2018,"32,550,203","13,503,022","1,326,752",,,"268,467","398,752",,,,,"1,187,644","799,030",,,"857,245","1,112,718","1,558,110","51,754","495,642","570,015","1,917,035","85,754",,"884,561",,,"801,475",,"1,558,345",,,,"829,857",,"1,442,089","788,109",
University of Virginia,Virginia,ACC,2019,"32,399,855","13,200,301","958,108",,,"317,126","433,675",,,,,"1,383,914","786,131",,,"816,275","1,047,464","785,830","812,918","561,215","528,965","1,021,495","1,002,420",,"797,373",,,"712,440",,"1,858,942",,,,"712,161",,"1,349,236","762,846",
University of Virginia,Virginia,ACC,2020,"43,054,756","13,312,623","1,139,689",,,"287,189","449,544",,,,,"1,187,202","884,616",,,"917,492","1,121,015","660,040","901,214","467,140","543,024","930,095","1,145,899",,"862,289",,,"700,457",,"1,513,209",,,,"834,562",,"1,381,634","675,372",
University of Louisiana at Lafayette,"Louisiana, Lafayette",Sun Belt,2017,"6,333,699","1,244,296","204,535",,,"136,092",,,,,,,,,,,"109,713",,,"92,265","32,663","93,872","98,847",,"125,738",,,,,"1,519,944",,,,,,,"578,442",
University of Louisiana at Lafayette,"Louisiana, Lafayette",Sun Belt,2018,"7,280,367","1,473,119","216,906",,,"199,968",,,,,,,,,,,"140,885",,,"93,177","78,815","129,718","144,503",,"151,113",,,,,"1,924,258",,,,,,,"578,946",
University of Louisiana at Lafayette,"Louisiana, Lafayette",Sun Belt,2019,"5,067,547","1,406,891","343,057",,,"165,602",,,,,,,,,,,"74,910",,,"80,374","39,030","73,082","37,535",,"108,558",,,,,"1,023,709",,,,,,,"611,401",
University of Louisiana at Lafayette,"Louisiana, Lafayette",Sun Belt,2020,"3,949,670","1,081,424","216,028",,,"88,059",,,,,,,,,,,"57,907",,,"48,824","40,289","97,047","75,005",,"103,237",,,,,"1,105,341",,,,,,,"291,793",
Virginia Polytechnic Institute and State,Virginia Tech,ACC,2017,"54,251,229","9,964,883","1,443,287",,,"459,533","554,369",,,,,,"583,560",,,"620,824","714,383","498,030","699,532","264,353","441,082","782,494","1,002,472",,"676,246",,,"655,886",,"554,677",,,,,,,"605,442",
Virginia Polytechnic Institute and State,Virginia Tech,ACC,2018,"57,608,296","14,202,641","1,546,819",,,"207,788","295,879",,,,,,"684,356",,,"636,578","629,868","496,096","689,776","341,739","490,155","687,879","1,097,529",,"667,323",,,"638,405",,"754,706",,,,,,,"658,842",
Virginia Polytechnic Institute and State,Virginia Tech,ACC,2019,"51,780,565","11,780,790","885,251",,,"126,098","181,211",,,,,,"260,341",,,"182,242","312,860","137,174","184,780","139,749","128,955","117,428","290,404",,"270,435",,,"241,575",,"360,443",,,,,,,"182,608",
Kansas State University,Kansas State,Big 12,2017,"53,566,273","11,793,200","440,113",,,,,,,,,,,,,,"26,430",,,,,"14,456","9,875",,"93,637",,,,,"150,230",,,,,,,,
Kansas State University,Kansas State,Big 12,2018,"46,568,945","20,534,304","350,198",,,,,,,,,,,,,,"7,826",,,,,"42,016","32,608",,"62,108",,,,,"143,784",,,,,,,,
The Ohio State University,Ohio State,Big Ten,2017,"89,902,462","18,150,099","970,719","52,269","49,852","418,975","484,820","93,342","225,538","958,866","73,492","894,632","291,395",,,"224,012","278,419","256,321","98,370",,,,,,,,,,,"433,655",,,,"121,896",,"173,469","219,525",
The Ohio State University,Ohio State,Big Ten,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ohio State University,Ohio State,Big Ten,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ohio State University,Ohio State,Big Ten,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Texas,North Texas,C-USA,2014,"9,007,806","1,965,518","1,203,670",,,"238,942","261,835",,,,,,,,,,"631,163",,"489,919",,"358,066","366,637","442,276",,"684,234",,,,,,,,,,,,"435,767",
University of North Texas,North Texas,C-USA,2015,"6,906,623","1,886,619","1,181,309",,,"255,614","258,412",,,,,,,,,,"570,105",,"486,634",,"359,451","376,553","424,624",,"552,544",,,,,,,,,,,,"469,824",
University of North Texas,North Texas,C-USA,2016,"8,542,901","1,588,751","1,107,680",,,"605,756","460,158",,,,,,,,,,"523,853",,"411,467",,"330,536","370,119","328,219",,"412,525",,,,,,,,,,,,"557,826",
University of North Texas,North Texas,C-USA,2017,"10,275,905","1,543,646","830,531",,,"175,806","180,028",,,,,,,,,,"467,080",,"349,582",,"260,277","286,194","264,178",,"337,152",,,,,,,,,,,,"302,331",
University of North Texas,North Texas,C-USA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Texas,North Texas,C-USA,2019,"5,577,411","397,940","68,264",,,"1,880","80,637",,,,,,,,,,"20,301",,425,,"1,650","4,300","4,709",,"25,514",,,,,,,,,,,,"21,799",
University of North Texas,North Texas,C-USA,2020,"3,636,325","595,936","78,042",,,"163,528","173,328",,,,,,,,,,"28,689",,676,,"2,730","1,222","1,323",,"22,759",,,,,,,,,,,,"409,795",
University of Oregon,Oregon,Pac-12,2017,"66,307,082","11,149,777","732,760",,,"199,135","99,771",,"129,559",,,,"200,007",,,,"213,868",,,"48,788","74,595","346,634","347,180",,"527,688",,,,,"1,012,031","15,000",,,,,,"582,625",
University of Oregon,Oregon,Pac-12,2018,"70,542,280","11,384,189","1,254,031",,,"213,114","78,875",,"129,082",,,,"148,699",,,,"263,477",,,"76,190","66,545","369,987","376,808",,"471,566",,,,,"951,775","15,000",,,,,,"853,516",
University of Oregon,Oregon,Pac-12,2019,"72,146,317","10,918,130","1,858,179",,,"95,490","83,822",,"137,275",,,,"145,934",,,,"251,590",,,"68,132","55,500","317,067","315,493",,"582,329",,,,,"935,793","4,700",,,,,,"530,265",
University of Oregon,Oregon,Pac-12,2020,"77,569,502","10,518,656","2,263,973",,,"163,677","87,614",,"84,613",,,,"126,527",,,,"184,182",,,"66,653","55,500","291,185","290,211",,"377,335",,,,,"413,352","17,678",,,,,,"315,896",
Bowling Green State University,Bowling Green,MAC,2017,"2,689,908","1,228,679","215,682",,,"51,482","60,680",,"34,285","347,910",,,,,,"47,693","1,000",,"34,800",,,"6,000","3,876",,"29,614",,,,,"55,000",,,,,,,"12,300",
Bowling Green State University,Bowling Green,MAC,2018,"4,890,533","1,042,241","212,494",,,"6,774","62,492",,"21,107","366,348",,,,,,"65,873",,,"14,779",,"2,100",,"8,138",,"33,453",,,,,"74,433",,,,,,,"3,859",
Bowling Green State University,Bowling Green,MAC,2019,"3,273,234","1,294,345","117,510",,,"38,785","19,578",,"15,032","514,007",,,,,,"19,564","84,743",,"1,883",,,"20,819","4,476",,"40,195",,,,,"80,259",,,,,,,"62,703",
Bowling Green State University,Bowling Green,MAC,2020,"4,030,292","1,115,141","76,708",,,"4,050","51,736",,"6,026","493,723",,,,,,"64,755","37,758",,"15,849",,"10,815","13,634","2,555",,"59,199",,,,,"78,555",,,,,,,"5,107",
Georgia Institute of Technology,Georgia Tech,ACC,2017,"46,252,310","7,284,386","587,337",,,"177,267",,,,,,,,,,,,"114,972","236,826","107,184","100,646","21,351","245,203",,"56,303",,,,,"367,494",,,,,,,"53,473",
Georgia Institute of Technology,Georgia Tech,ACC,2018,"52,125,034","7,696,020","533,279",,,"211,188",,,,,,,,,,,,"116,321","169,459","93,501","251,428","102,583","101,309",,"273,832",,,,,"347,522",,,,,,,"110,177",
Georgia Institute of Technology,Georgia Tech,ACC,2019,"29,332,281","7,957,408","739,611",,,"266,106",,,,,,,,,,,,"128,572","180,106","694,196","302,542","109,177","116,819",,"354,951",,,,,"661,322",,,,,,,"197,356",
Georgia Institute of Technology,Georgia Tech,ACC,2020,"28,233,839","6,063,195","763,946",,,"298,221",,,,,,,,,,,,"496,015","485,385","167,117","302,766","101,890","136,940",,"347,977",,,,,"430,210",,,,,,,"199,339",
"University of Colorado, Boulder",Colorado,Pac-12,2017,"43,529,707","8,374,471","449,302",,,"433,244","276,791",,,,,,"528,936","270,297","174,983",,"913,539",,,,"136,694","436,853","511,322",,"596,075",,,,,,,,,,,,,
"University of Colorado, Boulder",Colorado,Pac-12,2018,"43,468,472","9,204,899","429,650",,,"275,944","256,929",,,,,,"682,961","212,608","230,772",,"548,176",,,,"133,843","526,898","619,791",,"634,684",,,,,,,,,,,,,
"University of Colorado, Boulder",Colorado,Pac-12,2019,"43,419,641","9,420,350","841,177",,,"441,264","325,711",,,,,,"468,949","456,266","403,984",,"875,677",,,,"176,172","388,805","371,224",,"484,746",,,,,,,,,,,,,
"University of Colorado, Boulder",Colorado,Pac-12,2020,"50,476,022","9,230,096","563,577",,,"356,806","272,354",,,,,,"576,104","323,710","332,283",,"1,034,348",,,,"296,169","447,921","723,288",,"266,383",,,,,,,,,,,,,
"Rutgers, The State University of New",Rutgers,Big Ten,2017,"19,448,501","2,423,108","804,600",,,"61,212","69,990",,"414,999",,,"251,569","88,467",,,"172,656","363,038",,"88,940",,"48,754","55,825","18,848",,"43,183",,,,,"321,256",,,,"71,418",,"69,600","55,050",
"Rutgers, The State University of New",Rutgers,Big Ten,2018,"11,771,793","2,513,291","448,972",,,"60,261","62,604",,"407,333",,,"349,820","88,841",,,"252,880","461,510",,"99,579",,"76,035","61,105","27,037",,"45,107",,,,,"245,961",,,,"198,019",,"95,350","76,857",
"Rutgers, The State University of New",Rutgers,Big Ten,2019,"14,764,052","3,052,626","599,207",,,"72,924","89,642",,"321,397",,,"349,317","117,295",,,"120,065","448,724",,"100,821",,"119,849","60,480","22,096",,"57,180",,,,,"162,280",,,,"164,220",,"64,667","87,428",
"Rutgers, The State University of New",Rutgers,Big Ten,2020,"10,281,595","3,802,801","538,764",,,"60,335","74,408",,"193,279",,,"210,337","80,517",,,"128,401","305,821",,"94,997",,"24,439","72,158","24,372",,"42,453",,,,,"169,306",,,,"193,552",,"47,859","74,888",
Texas Tech University,Texas Tech,Big 12,2017,"50,672,073","9,471,458","2,477,602",,,"383,254","447,181",,,,,,,,,,"237,543",,,"68,694","112,019","251,203","239,130",,"176,261",,,,,"1,554,759",,,,,,,"199,643",
Texas Tech University,Texas Tech,Big 12,2018,"52,523,161","10,383,120","1,903,856",,,"296,970","154,738",,,,,,,,,,"210,185",,,"54,268","91,101","819,903","744,738",,"166,780",,,,,"1,617,622",,,,,,,"235,033",
Texas Tech University,Texas Tech,Big 12,2019,"59,446,134","12,742,899","1,470,694",,,"216,362","153,040",,,,,,,,,,"553,428",,,"129,590","137,844","1,020,295","966,456",,"283,823",,,,,"1,851,693",,,,,,,"373,900",
Texas Tech University,Texas Tech,Big 12,2020,"55,274,456","12,483,902","1,556,433",,,"243,599","129,425",,,,,,,,,,"397,607",,,"102,466","106,702","871,500","834,191",,"250,236",,,,,"827,457",,,,,,,"275,801",
North Carolina State University,NC State,ACC,2018,"45,383,605","15,864,646","951,473",,,"266,633","404,875",,"707,552",,,,,,,"791,396","940,885","756,675","975,720","321,020","446,041","953,100","1,305,372",,"805,889",,,"745,465",,"1,386,543",,,,,,,"751,538",
North Carolina State University,NC State,ACC,2019,"47,117,325","16,539,955","985,344",,,"280,958","360,654",,"672,646",,,,,,,"872,828","1,016,618","746,197","949,146","351,442","463,081","1,053,384","1,457,895",,"866,232",,,"791,511",,"1,280,178",,,,,,,"750,701",
North Carolina State University,NC State,ACC,2020,"47,324,455","15,167,339","984,657",,,"315,564","374,960",,"606,945",,,,,,,"877,357","982,380","718,044","845,749","360,194","473,419","924,774","1,398,713",,"792,082",,,"733,530",,"943,223",,,,,,,"712,575",
San Jose State University,San Jose State,Mountain West,2017,"4,911,042","962,213","31,765",,,"95,775","40,919",,"15,630",,,,,,,"5,544","6,235",,"12,280",,"3,400",0,"60,782",,"42,625","639,545","42,697",,,"113,783",0,,,,,,"30,470",
San Jose State University,San Jose State,Mountain West,2018,"5,614,160","807,736","199,789",,,"79,730","105,508",,"96,186",,,,,,,"64,716","88,051",,"56,610",,"336,253","4,500","165,445",,"171,106","120,070","83,717",,,"132,685","39,283",,,,,,"465,858",
Georgia State University,Georgia State,Sun Belt,2015,"3,366,888","514,074","266,793",,,"115,516","80,527",,,,,,,,,"137,987","155,090",,,"56,249","154,164",,"248,187",,"230,987",,,,,"184,676","52,248",,,,,,"150,871",
Georgia State University,Georgia State,Sun Belt,2016,"2,353,465","540,991","282,650",,,"155,360","111,237",,,,,,,,,"164,217","140,030",,,"58,101","120,015",,"178,836",,"216,489",,,,,"104,531","26,521",,,,,,"201,507",
Georgia State University,Georgia State,Sun Belt,2017,"2,701,792","545,899","302,027",,,"191,478","101,742",,,,,,,,,"149,262","158,310",,,"55,580","136,575",,"158,969",,"241,497",,,,,"109,218","48,062",,,,,,"103,650",
Georgia State University,Georgia State,Sun Belt,2018,"3,747,760","491,316","229,510",,,"186,311","127,279",,,,,,,,,"167,194","168,565",,,"65,782","150,642",,"133,325",,"245,794",,,,,"175,576","54,691",,,,,,"89,622",
Georgia State University,Georgia State,Sun Belt,2019,"2,386,102","1,011,575","307,358",,,"130,529","103,300",,,,,,,,,"183,263","228,218",,,"66,890","116,564",,"169,786",,"281,194",,,,,"149,568","51,015",,,,,,"97,077",
Georgia State University,Georgia State,Sun Belt,2020,"3,152,830","570,939","338,745",,,"134,366","87,535",,,,,,,,,"205,208","208,638",,,"76,387","153,958",,"137,273",,"295,940",,,,,"158,481","51,594",,,,,,"66,097",
University of Kentucky,Kentucky,SEC,2017,"36,393,185","27,965,228","536,393",,,"38,026","16,000",,"214,916",,,,,,,"133,668","114,675","32,601","43,254","109,687","21,188","61,579","73,572",,"340,382",,,,,"483,928",,,,,,,"266,337",
University of Kentucky,Kentucky,SEC,2018,"40,035,938","30,743,306","457,885",,,"38,899","19,500",,"264,100",,,,,,,"141,378","115,846","35,901","46,339","97,854","20,224","65,111","70,174",,"385,345",,,,,"550,820",,,,,,,"243,341",
University of Kentucky,Kentucky,SEC,2019,"41,365,946","38,829,661","469,223",,,"20,796","19,910",,"297,481",,,,,,,"186,661","120,654","43,647","49,047","101,754","23,056","61,980","65,360",,"468,971",,,,,"636,254",,,,,,,"301,596",
University of Kentucky,Kentucky,SEC,2020,"44,541,081","29,307,070","426,694",,,"18,365","20,770",,"281,471",,,,,,,"202,710","123,459","27,736","35,518","84,256","22,248","55,935","56,724",,"393,065",,,,,"522,555",,,,,,,"178,264",
"University of Nebraska, Lincoln",Nebraska,Big Ten,2017,"70,281,931","9,911,856","1,558,420",,,"62,225","84,345","75,738","134,059",,,,,,,,"206,860",,"130,545","72,769","77,295","292,208","276,343",,"3,725,956",,,,,"1,741,702",0,"70,156",,,,,"259,500",
"University of Nebraska, Lincoln",Nebraska,Big Ten,2018,"94,246,247","19,547,214","2,858,226",,,"236,167","244,068","344,416","596,814",,,,,,,,"835,462",,"618,230","256,165","353,234","1,182,270","1,172,719",,"4,231,249",,,,,"2,594,129",,"268,732",,,,,"656,042",
"University of Nebraska, Lincoln",Nebraska,Big Ten,2019,"96,155,551","15,249,679","1,609,113",,,"124,554","99,606","169,785","262,186",,,,,,,,"292,443",,"188,041","89,121","137,633","517,846","519,441",,"4,211,798",,,,,"1,948,122",,"102,191",,,,,"317,208",
